image_id,category,attack_family,attack_name,attack_parameter,suspect_path,watermark_score,provenance_score,exact_hash_match,forensic_score,semantic_score,cosine_similarity,acs,decision,ssim,difference_score,histogram_score,edge_score,suspicious_region_ratio,evidence_agreement,semantic_integrity_risk,alignment_method
H2,Unknown,resize,resize_150,scale_1.5;interpolation_INTER_LINEAR,research_experiments\H2\resize\H2_resize_150.png,0.9248046875,0.0,False,0.9772121895967674,0.9973958134651184,0.9947916269302368,0.725862353833889,Mixed archival consistency,0.9776310558863489,0.9811572074890137,0.9969202899483494,0.9496724605560303,0.000316619873046875,0.12100200456422452,0.16854849815368655,orb_homography
H2,Unknown,rotation,rotate_2,2_degrees;border_BORDER_REFLECT_101,research_experiments\H2\rotation\H2_rotate_2.png,0.5654296875,0.0,False,0.9555422438218182,0.9834040999412537,0.9668081998825073,0.6274871006217397,Mixed archival consistency,0.9430957149169445,0.971738338470459,0.9950797512917154,0.9263508319854736,0.0030364990234375,0.15381816025227793,0.16582546055316927,orb_homography
H2,Unknown,rotation,rotate_5,5_degrees;border_BORDER_REFLECT_101,research_experiments\H2\rotation\H2_rotate_5.png,0.4892578125,0.0,False,0.9435084005777372,0.9807147979736328,0.9614295959472656,0.6052305726326372,Mixed archival consistency,0.9251479796926723,0.9677163600921631,0.993226236119593,0.9085252285003662,0.004421234130859375,0.15227297267742573,0.16508005604147913,orb_homography
H2,Unknown,rotation,rotate_10,10_degrees;border_BORDER_REFLECT_101,research_experiments\H2\rotation\H2_rotate_10.png,0.494140625,0.0,False,0.9552423515186926,0.9761529266834259,0.9523058533668518,0.6074295045587663,Mixed archival consistency,0.9446539564569749,0.9717715740203857,0.9929101073928939,0.9217910766601562,0.00301361083984375,0.15059497972619407,0.1655597145855427,orb_homography
H2,Unknown,blur,blur_sigma1,sigma_1,research_experiments\H2\blur\H2_blur_sigma1.png,0.5029296875,0.0,False,0.9235696920018396,0.9914733469486237,0.9829466938972473,0.6078883643599551,Mixed archival consistency,0.9020303909213201,0.9570068836212158,0.9910338702182739,0.8649947643280029,0.013057708740234375,0.15598739700957354,0.1966215182840824,orb_homography
H2,Unknown,blur,blur_sigma3,sigma_3,research_experiments\H2\blur\H2_blur_sigma3.png,0.501953125,0.0,False,0.8430870982697318,0.9239982664585114,0.8479965329170227,0.5713051808414997,Low technical consistency with limited semantic concentration,0.7697699186650501,0.916909122467041,0.9922176465983499,0.7908713817596436,0.060733795166015625,0.20430519806415742,0.29761545106768605,orb_homography
H2,Unknown,blur,blur_sigma5,sigma_5,research_experiments\H2\blur\H2_blur_sigma5.png,0.5087890625,0.0,False,0.8114285071251957,0.9253948926925659,0.8507897853851318,0.567101434857809,Low technical consistency with limited semantic concentration,0.7115272401138206,0.8962131977081299,0.9901262695884316,0.7911267280578613,0.060573577880859375,0.21284897009279402,0.3046928896009922,orb_homography
H2,Unknown,brightness,brightness_minus20,-20,research_experiments\H2\brightness\H2_brightness_minus20.png,0.9931640625,0.0,False,0.8567417946468048,0.9966732263565063,0.9933464527130127,0.7186413424613128,Mixed archival consistency,0.9818727286679773,0.7517995357513427,0.5232813600697788,0.989713191986084,0.002941131591796875,0.12791319818335262,0.3012176252901554,orb_homography
H2,Unknown,brightness,brightness_plus20,20,research_experiments\H2\brightness\H2_brightness_plus20.png,0.9970703125,0.0,False,0.8603577411659852,0.9981464445590973,0.9962928891181946,0.7207830597259262,Mixed archival consistency,0.9875300669959919,0.7500323295593262,0.5233660151938693,0.9997081756591797,0.0,0.12606285762324987,0.29649155266582966,orb_homography
H2,Unknown,brightness,brightness_plus40,40,research_experiments\H2\brightness\H2_brightness_plus40.png,0.9970703125,0.0,False,0.7806107942564859,0.9940955638885498,0.9881911277770996,0.7036184061428621,Mixed archival consistency,0.9580479721574243,0.5010283946990967,0.5014346090600618,0.9934461116790771,0.00072479248046875,0.13562138144269234,0.2975975643098354,orb_homography
H2,Unknown,contrast,contrast_075,0.75,research_experiments\H2\contrast\H2_contrast_075.png,0.94921875,0.0,False,0.7985706991264032,0.9945188462734222,0.9890376925468445,0.6953744812073073,Mixed archival consistency,0.9431241923946102,0.6120442867279052,0.5171105383758579,0.9572477340698242,0.055866241455078125,0.14638490527705403,0.3972021685540676,orb_homography
H2,Unknown,contrast,contrast_125,1.25,research_experiments\H2\contrast\H2_contrast_125.png,0.9111328125,0.0,False,0.8107345193765294,0.9867717325687408,0.9735434651374817,0.6859616267709281,Mixed archival consistency,0.9658954586844581,0.6250483512878418,0.5049688877823012,0.9604942798614502,0.062530517578125,0.15612950286707775,0.4084162881970405,orb_homography
